기준년월,관광객유형,제주대분류,제주중분류,업종명,성별,연령대별,카드이용금액,카드이용건수,건당이용금액
Sep-14,내국인 관광객,서귀포시,예래동,농축수산품,여,50대,940400,15,62693
Sep-14,내국인 관광객,제주시,애월읍,농축수산품,여,50대,3193800,51,62624
Sep-14,내국인 관광객,제주시,삼도2동,정장(여성),여,40대,1801000,29,62103
Sep-14,내국인 관광객,제주시,노형동,기타음료식품,여,50대,2044650,33,61959
Sep-14,내국인 관광객,제주시,삼도2동,스포츠레져용품,남,40대,2408500,39,61756
Sep-14,내국인 관광객,제주시,연동,정장(여성),남,20대,2074300,34,61009
Sep-14,내국인 관광객,제주시,이도2동,정장(여성),남,30대,789600,13,60738
Sep-14,내국인 관광객,제주시,삼도2동,정장(여성),남,20대,1031900,17,60700
Sep-14,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,30대,3149900,52,60575
Sep-14,내국인 관광객,제주시,용담2동,농축수산품,남,40대,23352640,387,60343
Sep-14,내국인 관광객,제주시,삼도2동,농축수산품,여,40대,1206000,20,60300
Sep-14,내국인 관광객,서귀포시,성산읍,농축수산품,남,30대,13072600,217,60242
Sep-14,내국인 관광객,서귀포시,성산읍,농축수산품,여,50대,4315500,73,59116
Sep-14,내국인 관광객,제주시,이도2동,농축수산품,남,40대,10446260,178,58687
Sep-14,내국인 관광객,제주시,삼도2동,정장(여성),남,40대,988400,17,58141
Sep-14,내국인 관광객,제주시,애월읍,스포츠레져용품,남,30대,869200,15,57947
Sep-14,내국인 관광객,제주시,삼도2동,정장(여성),여,20대,2755000,49,56224
Sep-14,내국인 관광객,제주시,용담2동,농축수산품,여,40대,18385930,328,56055
Sep-14,내국인 관광객,제주시,노형동,기념품 점,여,50대,672000,12,56000
Sep-14,내국인 관광객,제주시,삼도2동,농축수산품,여,30대,1286500,23,55935
Sep-14,내국인 관광객,제주시,연동,농축수산품,여,30대,2289000,41,55829
Sep-14,내국인 관광객,제주시,연동,악세 사리,여,30대,1604400,29,55324
Sep-14,내국인 관광객,제주시,용담2동,농축수산품,남,30대,19395180,353,54944
Sep-14,내국인 관광객,제주시,노형동,농축수산품,남,30대,1977400,36,54928
Sep-14,내국인 관광객,서귀포시,남원읍,농축수산품,여,30대,5859700,107,54764
Sep-14,내국인 관광객,제주시,연동,정장(여성),여,20대,4018800,74,54308
Sep-14,내국인 관광객,제주시,용담2동,스포츠레져용품,남,30대,644700,12,53725
Sep-14,내국인 관광객,제주시,노형동,농축수산품,여,30대,1394400,26,53631
Sep-14,내국인 관광객,제주시,삼도2동,안경,남,30대,535000,10,53500
Sep-14,내국인 관광객,제주시,이도2동,농축수산품,남,30대,6097330,114,53485
Sep-14,내국인 관광객,서귀포시,예래동,농축수산품,남,20대,840500,16,52531
Sep-14,내국인 관광객,제주시,용담2동,농축수산품,여,30대,22811390,435,52440
Sep-14,내국인 관광객,제주시,이도2동,농축수산품,여,40대,8366370,160,52290
Sep-14,내국인 관광객,제주시,애월읍,농축수산품,남,40대,3032000,58,52276
Sep-14,내국인 관광객,제주시,연동,정장(여성),남,50대,520800,10,52080
Sep-14,내국인 관광객,제주시,노형동,농축수산품,남,40대,2783400,54,51544
Sep-14,내국인 관광객,서귀포시,성산읍,스포츠레져용품,남,30대,768100,15,51207
Sep-14,내국인 관광객,서귀포시,성산읍,정장(여성),여,40대,553000,11,50273
Sep-14,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,50대,14461850,288,50215
Sep-14,내국인 관광객,서귀포시,남원읍,농축수산품,여,20대,1040300,21,49538
Sep-14,내국인 관광객,제주시,애월읍,농축수산품,남,50대,2813500,57,49360
Sep-14,내국인 관광객,제주시,노형동,기념품 점,남,30대,3907200,80,48840
Sep-14,내국인 관광객,서귀포시,성산읍,농축수산품,여,30대,12859100,265,48525
Sep-14,내국인 관광객,제주시,연동,기념품 점,남,50대,1902000,40,47550
Sep-14,내국인 관광객,제주시,노형동,농축수산품,여,40대,1845500,39,47321
Sep-14,내국인 관광객,제주시,노형동,안경,여,30대,757000,16,47313
Sep-14,내국인 관광객,서귀포시,대륜동,안경,남,30대,516000,11,46909
Sep-14,내국인 관광객,제주시,노형동,기념품 점,남,40대,1989800,43,46274
Sep-14,내국인 관광객,제주시,이도2동,의원,남,20대,1156400,25,46256
Sep-14,내국인 관광객,제주시,이도2동,정장(여성),여,20대,2445000,54,45278
Sep-14,내국인 관광객,제주시,연동,신   발,여,20대,856900,19,45100
Sep-14,내국인 관광객,제주시,이도2동,안경,여,20대,1168000,26,44923
Sep-14,내국인 관광객,제주시,연동,기념품 점,여,40대,935840,21,44564
Sep-14,내국인 관광객,제주시,연동,기념품 점,여,50대,843500,19,44395
Sep-14,내국인 관광객,제주시,이도2동,농축수산품,여,30대,4333510,98,44219
Sep-14,내국인 관광객,서귀포시,남원읍,농축수산품,남,30대,4941300,112,44119
Sep-14,내국인 관광객,제주시,연동,신   발,여,30대,520800,12,43400
Sep-14,내국인 관광객,제주시,연동,의원,여,40대,1732260,40,43307
Sep-14,내국인 관광객,제주시,노형동,기념품 점,남,20대,1422700,33,43112
Sep-14,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,20대,1508000,35,43086
Sep-14,내국인 관광객,서귀포시,예래동,스포츠레져용품,남,50대,1109100,26,42658
Sep-14,내국인 관광객,서귀포시,예래동,기념품 점,여,40대,894500,21,42595
Sep-14,내국인 관광객,서귀포시,성산읍,농축수산품,여,20대,4620700,109,42392
Sep-14,내국인 관광객,서귀포시,성산읍,정장(여성),여,30대,1214100,29,41866
Sep-14,내국인 관광객,서귀포시,남원읍,농축수산품,남,20대,622300,15,41487
Sep-14,내국인 관광객,제주시,연동,기념품 점,남,30대,3640500,88,41369
Sep-14,내국인 관광객,서귀포시,성산읍,농축수산품,남,20대,1805000,44,41023
Sep-14,내국인 관광객,제주시,용담2동,농축수산품,여,20대,7829350,195,40151
Sep-14,내국인 관광객,제주시,이도2동,악세 사리,여,30대,1566000,40,39150
Sep-14,내국인 관광객,제주시,삼도2동,악세 사리,여,30대,1017900,26,39150
Sep-14,내국인 관광객,제주시,이도2동,농축수산품,남,20대,1983010,51,38883
Sep-14,내국인 관광객,서귀포시,예래동,농축수산품,여,20대,1162600,30,38753
Sep-14,내국인 관광객,제주시,연동,악세 사리,남,30대,384400,10,38440
Sep-14,내국인 관광객,제주시,용담2동,기념품 점,남,50대,23984500,624,38437
Sep-14,내국인 관광객,서귀포시,성산읍,스포츠레져용품,남,50대,651000,17,38294
Sep-14,내국인 관광객,제주시,노형동,기념품 점,여,40대,1208600,32,37769
Sep-14,내국인 관광객,제주시,용담2동,기념품 점,여,50대,17599500,477,36896
Sep-14,내국인 관광객,제주시,노형동,의원,여,30대,7411950,204,36333
Sep-14,내국인 관광객,서귀포시,예래동,기념품 점,남,40대,1990300,55,36187
Sep-14,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,40대,16837800,471,35749
Sep-14,내국인 관광객,제주시,용담2동,농축수산품,남,20대,3251140,94,34587
Sep-14,내국인 관광객,서귀포시,예래동,스포츠레져용품,남,40대,413600,12,34467
Sep-14,내국인 관광객,제주시,노형동,기념품 점,여,30대,2512600,73,34419
Sep-14,내국인 관광객,제주시,애월읍,농축수산품,여,40대,1606500,47,34181
Sep-14,내국인 관광객,제주시,연동,의원,남,50대,951570,28,33985
Sep-14,내국인 관광객,제주시,노형동,농축수산품,여,20대,338400,10,33840
Sep-14,내국인 관광객,제주시,노형동,기념품 점,여,20대,2064200,61,33839
Sep-14,내국인 관광객,제주시,이도2동,의원,남,50대,1588900,47,33806
Sep-14,내국인 관광객,제주시,이도2동,농축수산품,여,20대,1760400,53,33215
Sep-14,내국인 관광객,제주시,연동,악세 사리,남,20대,330800,10,33080
Sep-14,내국인 관광객,제주시,연동,안경,여,20대,890000,27,32963
Sep-14,내국인 관광객,제주시,노형동,의원,여,40대,3160741,97,32585
Sep-14,내국인 관광객,제주시,이도2동,악세 사리,여,20대,1365500,42,32512
Sep-14,내국인 관광객,제주시,애월읍,스포츠레져용품,남,40대,389000,12,32417
Sep-14,내국인 관광객,제주시,연동,기념품 점,여,30대,2236000,69,32406
Sep-14,내국인 관광객,서귀포시,남원읍,스포츠레져용품,남,40대,485700,15,32380
Sep-14,내국인 관광객,제주시,노형동,정장(여성),여,20대,548800,17,32282
Sep-14,내국인 관광객,제주시,용담2동,기념품 점,여,40대,20607000,642,32098
Sep-14,내국인 관광객,서귀포시,예래동,스포츠레져용품,여,50대,449000,14,32071
Sep-14,내국인 관광객,제주시,용담2동,의원,여,40대,445700,14,31836
Sep-14,내국인 관광객,제주시,용담2동,기념품 점,남,40대,29207200,924,31610
Sep-14,내국인 관광객,제주시,이도2동,악세 사리,남,30대,472000,15,31467
Sep-14,내국인 관광객,서귀포시,성산읍,스포츠레져용품,남,40대,435000,14,31071
Sep-14,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,30대,28828070,931,30965
Sep-14,내국인 관광객,서귀포시,성산읍,기념품 점,남,50대,1719800,57,30172
Sep-14,내국인 관광객,제주시,노형동,의원,여,50대,1565300,52,30102
Sep-14,내국인 관광객,제주시,노형동,의원,여,20대,2708950,90,30099
Sep-14,내국인 관광객,제주시,노형동,기타음료식품,남,50대,1283630,43,29852
Sep-14,내국인 관광객,제주시,연동,기념품 점,여,20대,2263000,76,29776
Sep-14,내국인 관광객,제주시,연동,악세 사리,여,40대,443700,15,29580
Sep-14,내국인 관광객,서귀포시,예래동,기타음료식품,남,50대,1152300,39,29546
Sep-14,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,50대,13259510,450,29466
Sep-14,내국인 관광객,서귀포시,대륜동,안경,여,30대,294000,10,29400
Sep-14,내국인 관광객,제주시,노형동,의원,남,50대,2178700,76,28667
Sep-14,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,40대,25274710,888,28463
Sep-14,내국인 관광객,서귀포시,대륜동,기타음료식품,남,50대,280700,10,28070
Sep-14,내국인 관광객,제주시,용담2동,기념품 점,남,30대,32789600,1169,28049
Sep-14,내국인 관광객,서귀포시,남원읍,약국,남,40대,558200,20,27910
Sep-14,내국인 관광객,제주시,이도2동,의원,여,30대,3062780,111,27593
Sep-14,내국인 관광객,제주시,용담2동,기념품 점,여,30대,39275901,1431,27446
Sep-14,내국인 관광객,제주시,노형동,기타음료식품,남,40대,1070090,39,27438
Sep-14,내국인 관광객,제주시,용담2동,의원,여,30대,321900,12,26825
Sep-14,내국인 관광객,서귀포시,예래동,기념품 점,여,30대,1206300,45,26807
Sep-14,내국인 관광객,제주시,노형동,기타음료식품,여,40대,1124370,42,26771
Sep-14,내국인 관광객,제주시,이도2동,의원,남,30대,2622900,98,26764
Sep-14,내국인 관광객,서귀포시,예래동,기념품 점,남,30대,1485300,56,26523
Sep-14,내국인 관광객,제주시,연동,기념품 점,남,20대,1220000,46,26522
Sep-14,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,남,50대,1334020,51,26157
Sep-14,내국인 관광객,제주시,용담2동,기념품 점,남,20대,9902500,379,26128
Sep-14,내국인 관광객,제주시,노형동,농축수산품,남,20대,365000,14,26071
Sep-14,내국인 관광객,서귀포시,성산읍,기타음료식품,여,40대,906300,35,25894
Sep-14,내국인 관광객,서귀포시,성산읍,스넥,남,50대,614000,24,25583
Sep-14,내국인 관광객,제주시,노형동,슈퍼 마켓,여,50대,6392730,252,25368
Sep-14,내국인 관광객,제주시,용담2동,기념품 점,여,20대,21303000,847,25151
Sep-14,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,여,50대,3692100,148,24947
Sep-14,내국인 관광객,제주시,삼도2동,농축수산품,여,20대,646200,26,24854
Sep-14,내국인 관광객,서귀포시,성산읍,기념품 점,여,50대,1563700,63,24821
Sep-14,내국인 관광객,제주시,애월읍,스넥,남,50대,2093900,85,24634
Sep-14,내국인 관광객,제주시,이도2동,악세 사리,남,20대,319000,13,24538
Sep-14,내국인 관광객,서귀포시,예래동,스넥,남,50대,1896310,78,24312
Sep-14,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,30대,17912220,755,23725
Sep-14,내국인 관광객,서귀포시,성산읍,기념품 점,남,40대,7730500,326,23713
Sep-14,내국인 관광객,서귀포시,대륜동,기타음료식품,남,40대,923500,39,23679
Sep-14,내국인 관광객,제주시,이도2동,기타음료식품,여,30대,755700,32,23616
Sep-14,내국인 관광객,제주시,노형동,슈퍼 마켓,남,50대,11262980,478,23563
Sep-14,내국인 관광객,서귀포시,성산읍,스넥,남,40대,1224500,52,23548
Sep-14,내국인 관광객,제주시,연동,의원,여,20대,918000,39,23538
Sep-14,내국인 관광객,제주시,애월읍,스넥,여,50대,1595510,68,23463
Sep-14,내국인 관광객,제주시,연동,슈퍼 마켓,여,50대,5975950,255,23435
Sep-14,내국인 관광객,제주시,애월읍,농축수산품,여,30대,5277000,226,23350
Sep-14,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,여,50대,675870,29,23306
Sep-14,내국인 관광객,서귀포시,남원읍,기념품 점,여,30대,230000,10,23000
Sep-14,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,50대,2853960,125,22832
Sep-14,내국인 관광객,제주시,노형동,기타음료식품,남,30대,1391990,61,22820
Sep-14,내국인 관광객,제주시,연동,기타음료식품,남,50대,409150,18,22731
Sep-14,내국인 관광객,제주시,노형동,슈퍼 마켓,여,40대,10385560,458,22676
Sep-14,내국인 관광객,서귀포시,성산읍,스넥,여,50대,271500,12,22625
Sep-14,내국인 관광객,제주시,노형동,의원,남,30대,4371760,194,22535
Sep-14,내국인 관광객,제주시,연동,의원,남,40대,966400,43,22474
Sep-14,내국인 관광객,제주시,연동,기타음료식품,여,40대,515700,23,22422
Sep-14,내국인 관광객,서귀포시,성산읍,기타음료식품,남,50대,515300,23,22404
Sep-14,내국인 관광객,서귀포시,성산읍,기념품 점,여,40대,4449600,199,22360
Sep-14,내국인 관광객,제주시,노형동,기타음료식품,여,30대,734120,33,22246
Sep-14,내국인 관광객,제주시,연동,약국,여,50대,858810,39,22021
Sep-14,내국인 관광객,제주시,애월읍,슈퍼 마켓,남,40대,10238660,465,22019
Sep-14,내국인 관광객,서귀포시,예래동,기타음료식품,여,50대,547900,25,21916
Sep-14,내국인 관광객,서귀포시,남원읍,기념품 점,남,30대,283000,13,21769
Sep-14,내국인 관광객,제주시,연동,슈퍼 마켓,여,40대,10834650,502,21583
Sep-14,내국인 관광객,제주시,애월읍,농축수산품,남,30대,3190100,148,21555
Sep-14,내국인 관광객,서귀포시,성산읍,기념품 점,여,30대,8454600,397,21296
Sep-14,내국인 관광객,서귀포시,성산읍,기념품 점,남,20대,1172900,56,20945
Sep-14,내국인 관광객,서귀포시,성산읍,기념품 점,남,30대,9685200,464,20873
Sep-14,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,남,50대,1243050,60,20718
Sep-14,내국인 관광객,제주시,삼도2동,약국,여,40대,268940,13,20688
Sep-14,내국인 관광객,제주시,연동,스넥,남,50대,1359400,66,20597
Sep-14,내국인 관광객,제주시,용담2동,슈퍼 마켓,남,50대,2486030,121,20546
Sep-14,내국인 관광객,서귀포시,예래동,기타음료식품,여,40대,2340700,114,20532
Sep-14,내국인 관광객,제주시,삼도2동,악세 사리,여,20대,850100,42,20240
Sep-14,내국인 관광객,제주시,애월읍,스넥,남,40대,5213800,260,20053
Sep-14,내국인 관광객,제주시,이도2동,약국,남,50대,1624050,81,20050
Sep-14,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,40대,4712970,236,19970
Sep-14,내국인 관광객,제주시,노형동,슈퍼 마켓,여,30대,9965950,500,19932
Sep-14,내국인 관광객,제주시,노형동,약국,남,50대,1926130,97,19857
Sep-14,내국인 관광객,서귀포시,대륜동,기타음료식품,여,40대,256500,13,19731
Sep-14,내국인 관광객,제주시,노형동,약국,여,50대,1098900,56,19623
Sep-14,내국인 관광객,제주시,연동,의원,남,30대,1094860,56,19551
Sep-14,내국인 관광객,제주시,애월읍,슈퍼 마켓,남,50대,4723820,243,19440
Sep-14,내국인 관광객,제주시,노형동,기타음료식품,여,20대,539720,28,19276
Sep-14,내국인 관광객,제주시,연동,슈퍼 마켓,남,50대,10042680,524,19165
Sep-14,내국인 관광객,제주시,애월읍,농축수산품,남,20대,456500,24,19021
Sep-14,내국인 관광객,서귀포시,예래동,스넥,남,40대,3286400,173,18997
Sep-14,내국인 관광객,제주시,노형동,슈퍼 마켓,남,40대,13962660,740,18868
Sep-14,내국인 관광객,서귀포시,성산읍,기념품 점,여,20대,2352500,125,18820
Sep-14,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,20대,4341850,231,18796
Sep-14,내국인 관광객,제주시,연동,기타음료식품,여,50대,225000,12,18750
Sep-14,내국인 관광객,제주시,애월읍,스넥,여,40대,3578900,191,18738
Sep-14,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,40대,2844410,152,18713
Sep-14,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,남,40대,1494090,80,18676
Sep-14,내국인 관광객,제주시,연동,기타음료식품,여,30대,428000,23,18609
Sep-14,내국인 관광객,서귀포시,예래동,슈퍼 마켓,여,50대,333950,18,18553
Sep-14,내국인 관광객,제주시,노형동,의원,남,20대,1139900,62,18385
Sep-14,내국인 관광객,제주시,애월읍,농축수산품,여,20대,1633800,89,18357
Sep-14,내국인 관광객,제주시,애월읍,약국,남,50대,257000,14,18357
Sep-14,내국인 관광객,제주시,연동,스넥,남,40대,3028800,165,18356
Sep-14,내국인 관광객,제주시,노형동,슈퍼 마켓,남,30대,11693720,638,18329
Sep-14,내국인 관광객,제주시,노형동,의원,남,40대,3039772,166,18312
Sep-14,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,30대,6766880,370,18289
Sep-14,내국인 관광객,서귀포시,성산읍,기타음료식품,여,30대,928600,51,18208
Sep-14,내국인 관광객,서귀포시,예래동,기타음료식품,남,40대,2066300,114,18125
Sep-14,내국인 관광객,제주시,삼도2동,약국,남,40대,289300,16,18081
Sep-14,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,50대,2002790,111,18043
Sep-14,내국인 관광객,서귀포시,예래동,슈퍼 마켓,남,50대,649280,36,18036
Sep-14,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,남,50대,6234620,346,18019
Sep-14,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,여,40대,3599150,200,17996
Sep-14,내국인 관광객,제주시,이도2동,의원,여,40대,1089900,61,17867
Sep-14,내국인 관광객,서귀포시,대륜동,기타음료식품,남,30대,517900,29,17859
Sep-14,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,남,40대,7194660,404,17809
Sep-14,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,30대,2741120,155,17685
Sep-14,내국인 관광객,서귀포시,예래동,스넥,여,50대,917510,52,17644
Sep-14,내국인 관광객,제주시,애월읍,스넥,남,20대,3062700,174,17602
Sep-14,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,20대,2634000,150,17560
Sep-14,내국인 관광객,제주시,연동,스넥,여,50대,1070000,61,17541
Sep-14,내국인 관광객,서귀포시,성산읍,스넥,여,40대,489900,28,17496
Sep-14,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,남,40대,1999390,115,17386
Sep-14,내국인 관광객,제주시,삼도2동,의원,여,30대,173800,10,17380
Sep-14,내국인 관광객,제주시,연동,기타음료식품,남,40대,660400,38,17379
Sep-14,내국인 관광객,제주시,용담2동,스넥,남,50대,293300,17,17253
Sep-14,내국인 관광객,서귀포시,대륜동,기타음료식품,여,30대,447900,26,17227
Sep-14,내국인 관광객,서귀포시,예래동,스넥,여,30대,3948130,233,16945
Sep-14,내국인 관광객,제주시,연동,의원,남,20대,169300,10,16930
Sep-14,내국인 관광객,서귀포시,성산읍,스넥,남,20대,673500,40,16838
Sep-14,내국인 관광객,제주시,용담2동,슈퍼 마켓,남,40대,3888680,231,16834
